item	itemLabel	when	date
http://www.wikidata.org/entity/Q132438	black metal	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q133802	Portlandia	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q135379	Santa Claus Village	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q136484	ZTE	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q143692	ISU Speed Skating World Cup	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q146063	Zanaco F.C.	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q152360	Jeanneke Pis	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q152578	Beitar Illit	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q152912	Federation of Canadian Naturists	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q153887	Schomet	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q153901	Schlangenberg	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q154330	Reporters Without Borders	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q157015	FHM	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q159371	.com	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q160054	AXA	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q160109	Rock am Ring	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q160532	SC Paderborn 07	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q162179	1. EV Weiden	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q162586	Dream Theater	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q163696	Danish Division 1	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q164150	Palace of the Parliament	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q165372	CLIPS	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q165863	Dam tot Damloop	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q166315	Sanctuary	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q166817	Caltrain	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q168241	Dunlop Tyres	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q168458	Universidade Autónoma de Lisboa	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q168936	Carrousel international du film de Rimouski	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q169361	Zebda	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q170614	Ryanair	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q171205	Restaurants du Cœur	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q171324	Xghajra Tornados F.C.	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q173576	Alfa Romeo 185T	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q176546	Sarcófago	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q176683	Garry Kitchen's GameMaker	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q177530	World Habitat Awards	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q178576	Qingling Motors	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q179622	Merkur	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q181874	Neu!	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q187829	Symbol	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q188534	grindcore	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q190299	Zentrale Erfassung Homosexuellendiskriminierung	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q190411	field-programmable gate array	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q190428	Central Institute of Medical Services of the German Federal Armed Forces	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q198223	Guangzhou Zhujiang Brewery Group	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q198418	Museum für angewandte Kunst Frankfurt	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q201607	Relativity Records	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q203078	VH1 USA	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q203368	Boodjamulla (Lawn Hill) National Park	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q204011	Dronacharya Award	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q204248	S.D.I.	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q206683	Slavorum Apostoli	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q209968	2. Handball-Bundesliga	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q211620	Coimbra Group	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q216625	.edu	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q216948	24th Submarine Division (Russia)	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q217695	Roughton Road railway station	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q225950	Economic Cooperation Organization	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q226523	Oerlikon GDF series 35 mm twin gun mount	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q228374	Zuger Woche	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q240333	Actel	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q244989	Q244989	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q245286	FIFA Under-17 World Cup	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q246963	Shim'a	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q248563	Züri West	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q251972	Tour de Sol	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q253422	Turkish National Liberation Movement in Bulgaria	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q255406	jazz rap	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q255719	Coat of arms of South Georgia and the South Sandwich Islands	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q256496	Centurion Air Cargo	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q261341	The Highwaymen	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q264289	sophisti-pop	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q267249	Lucida	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q267949	Westwood Studios	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q269750	Spokane Chiefs	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q272328	ça ira	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q274098	Notepad	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q274867	8 Bold Souls	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q277115	Showa Shell Sekiyu	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q278428	Xentrix	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q282335	Teixeira de Freitas	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q283032	Pondicherry University	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q283835	Carcass	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q287218	ABC Signature	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q288285	ACE Limited	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q289432	Asociación Civil Minervén Fútbol Club	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q290485	Engenheiros do Hawaii	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q292226	AG. Geige	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q293978	Q293978	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q294040	Moerser SC	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q294526	ALV Kronspur	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q294820	Öko-Test	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q295250	AMPL	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q296496	ARC	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q298528	AT&L Railroad	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q299189	Bologna Outdoor	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q299369	Chicago Grand Prix (tennis)	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q299714	OTB Open	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q300602	A Tribe Called Quest	1985-01-01T00:00:00Z	1985
http://www.wikidata.org/entity/Q300846	patch	1985-01-01T00:00:00Z	1985
